trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
85dba97943515cbd,True,1.0,1.0,1.0,0.4178430613318268,1.0,0.0,0.5907679422215945,
98c7a48dd75052ab,True,1.0,1.0,1.0,0.6160625708804779,0.0,1.0,0.4233594045335325,
dc12fe40cbbb5b3f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dd71dee142f05d7d,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
9f6ae3dae4585cef,True,1.0,1.0,1.0,0.35646471391035356,1.0,0.0,0.5651936307959806,
281510a734895f33,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
0e479a9039ef5c10,True,1.0,1.0,1.0,0.3219745234184814,1.0,0.0,0.5508227180910339,
c8ba106036ea56b1,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
38f1e14586bd51e3,True,1.0,1.0,1.0,0.4843603334380856,1.0,1.0,0.7851501389325356,
8c639d319c5e5e20,True,1.0,1.0,1.0,0.5602394660605747,1.0,1.0,0.8167664441919061,
85da27c3381e5e63,True,1.0,1.0,1.0,0.4728518593107118,1.0,1.0,0.7803549413794633,
180e235fe7b75dbc,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,
bd646d9caaef57d8,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
294ea882f7ba5d71,True,1.0,1.0,1.0,0.544973090128691,1.0,1.0,0.8104054542202879,
41a845d429a35887,True,1.0,1.0,1.0,0.4555606341246069,1.0,1.0,0.7731502642185862,
182fe7c6dd5b5e44,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11bf2d4580ab5bc2,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
a50a5cf062ed5135,True,1.0,1.0,1.0,0.3092366518091648,1.0,0.0,0.545515271587152,
e66d21ee45e65dac,True,1.0,1.0,1.0,0.4438862617822463,1.0,0.0,0.6016192757426027,
8a81c8c3f87b5c9c,True,1.0,1.0,1.0,0.09652252086217289,1.0,0.0,0.456884383692572,
49abf280107f5810,True,1.0,1.0,1.0,0.4510060104225917,1.0,1.0,0.7712525043427466,
2fe345a90b6559e1,True,1.0,1.0,1.0,0.3869228025367367,1.0,1.0,0.7445511677236403,
fd676fd01e475e33,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
b8d4a8d9b16859d4,True,1.0,1.0,1.0,0.3294004483897393,1.0,0.0,0.5539168534957247,
17e417633368553f,True,1.0,1.0,1.0,0.41149231868020997,1.0,1.0,0.7547884661167542,
0f2b6cc2c32a51d8,True,1.0,1.0,1.0,0.42399539217154564,1.0,1.0,0.7599980800714774,
c0b8f52197ac558c,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
25cdf7dee0d25a66,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
008d66a74c275479,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
601c3cce2a215275,True,1.0,1.0,1.0,0.45916973665492133,1.0,1.0,0.7746540569395505,
229e86f19e7d5ced,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
80c159e90ae755f3,True,1.0,1.0,1.0,0.16986851440217013,1.0,0.0,0.48744521433423754,
5e4dd8c91b8453bf,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,
8cef0a91cc225732,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
a7eedd1eb65b51bf,True,1.0,1.0,1.0,0.2494276253029441,1.0,0.0,0.5205948438762267,
8685d4420d83534f,True,1.0,1.0,1.0,0.7004084066737446,1.0,1.0,0.8751701694473937,
1b30838ebfee5924,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
3e41024d080454b5,True,1.0,1.0,1.0,0.7830467352544871,1.0,1.0,0.9096028063560363,
cf602364e14b563d,True,1.0,1.0,1.0,0.16129245964764635,1.0,1.0,0.650538524853186,
5fc741e3c1875ae3,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
2fb54b28d0c55807,True,1.0,1.0,1.0,0.38477088498393497,1.0,1.0,0.743654535409973,
7032d9dfb6415988,True,1.0,1.0,1.0,0.23450112892401964,1.0,1.0,0.6810421370516749,
19585f102d0a5fb6,True,1.0,1.0,1.0,0.24973158529037306,1.0,1.0,0.6873881605376555,
cdba5e3c59af59da,True,1.0,1.0,1.0,0.39793317481199225,1.0,1.0,0.7491388228383301,
c370f836e3275da4,True,1.0,1.0,1.0,0.3795067079661185,1.0,1.0,0.7414611283192162,
57b4b980c94757c1,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
59db265fc4cf5a41,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
d849d3813e3052d0,True,1.0,1.0,1.0,0.3797387209683304,1.0,1.0,0.741557800403471,
47510e11da5555ed,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
97e2daddecd557a4,True,1.0,1.0,1.0,0.21183849518631007,1.0,0.0,0.5049327063276292,
16295788c73b5d86,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
